,gender,age,household_income,degree,school_degree,parking_strategy,survey_income_interval,income_group
70,1,92,16589,11,2,7,4,2
71,1,77,14585,0,4,7,1,2
72,2,37,14064,12,2,5,2,2
73,2,47,13635,5,6,4,2,2
74,2,61,471,3,1,4,4,0
75,1,50,3114,1,6,3,5,1
76,1,68,21508,4,1,3,4,2
77,2,76,3249,9,1,7,6,1
78,1,57,3669,4,5,7,2,1
79,2,4,7365,12,3,5,1,2
80,2,36,9902,1,6,3,2,2
81,1,80,17515,9,1,7,3,2
82,2,82,3137,2,6,5,4,1
83,1,37,23358,9,4,4,1,2
84,1,94,21342,11,3,3,2,2
85,1,35,21290,6,3,7,6,2
86,1,48,11011,4,4,3,4,2
87,1,0,3176,10,4,3,3,1
88,1,49,21113,5,6,5,6,2
89,2,57,26024,9,0,7,6,2
90,1,9,4812,10,5,3,2,1
91,1,50,6380,6,6,3,3,2
92,2,97,26963,6,6,7,2,2
93,2,48,1990,2,1,3,2,0
94,1,12,1955,6,0,5,5,0
95,2,70,12363,12,6,3,5,2
96,2,36,9602,7,3,7,3,2
97,1,99,13941,12,2,5,4,2
98,1,36,23493,10,5,3,7,2
99,2,30,9556,9,4,7,4,2
100,1,19,14854,9,3,7,6,2
101,2,38,4161,10,4,7,7,1
102,2,44,3823,8,1,3,6,1
103,1,35,17072,7,0,5,6,2
104,2,14,4123,2,6,3,2,1
105,2,29,6012,6,1,7,2,2
106,2,51,21823,1,4,4,3,2
107,1,60,20999,5,6,5,1,2
108,1,81,9866,2,2,4,5,2
109,2,67,15434,9,2,4,5,2
110,1,29,20493,4,0,5,5,2
111,2,27,19760,7,6,5,5,2
112,2,3,17570,7,1,3,7,2
113,2,33,8960,10,4,4,5,2
114,2,51,10567,1,5,3,3,2
115,2,27,22670,9,1,3,4,2
116,1,100,7705,6,3,3,6,2
117,2,56,26907,5,3,5,4,2
118,1,21,26795,12,3,4,7,2
119,2,39,27068,3,4,7,3,2
120,1,74,4637,8,3,5,6,1
121,1,29,11158,5,0,5,7,2
122,1,29,15026,11,3,4,1,2
123,1,61,1864,4,6,4,3,0
124,1,58,5665,4,6,4,6,1
125,2,24,20634,8,6,4,2,2
126,1,16,25482,11,4,4,5,2
127,1,64,793,11,3,7,2,0
128,1,100,6770,4,1,3,6,2
129,1,98,25289,0,3,3,7,2
130,2,13,16926,4,0,5,7,2
131,1,1,22013,3,6,3,1,2
132,1,2,14001,6,2,3,6,2
133,2,66,9196,1,3,3,3,2
134,2,19,7337,1,6,7,3,2
135,1,76,3864,7,3,7,5,1
136,2,30,6481,9,2,3,2,2
137,2,39,10166,5,4,4,7,2
138,2,85,23109,0,0,3,5,2
139,2,77,12112,7,5,4,5,2
140,1,49,18118,0,0,5,3,2
141,1,26,8805,6,0,4,1,2
142,2,12,15567,8,5,7,5,2
143,2,64,11248,5,3,5,4,2
144,1,1,19599,2,1,7,5,2
145,2,36,10891,3,3,7,2,2
146,1,10,11857,7,2,7,2,2
147,1,32,24882,12,0,3,5,2
148,1,28,22309,7,3,7,1,2
149,1,58,2949,12,5,7,7,1
150,2,66,5048,1,3,7,6,1
151,2,92,2975,11,3,3,5,1
152,2,65,17220,0,6,3,5,2
153,1,77,13510,6,3,7,2,2
154,2,83,26169,3,0,7,2,2
155,1,47,19832,7,6,5,6,2
156,1,81,840,0,4,7,7,0
157,1,36,18295,1,1,4,1,2
158,2,71,16297,9,3,3,1,2
159,1,53,19617,8,0,5,1,2
160,2,70,1844,6,6,4,7,0
161,2,9,1938,11,2,7,1,0
162,1,15,25235,1,2,5,4,2
163,2,18,26224,8,6,5,3,2
164,1,29,8707,9,0,3,7,2
165,1,53,590,8,2,4,7,0
166,2,60,657,7,2,5,2,0
167,2,42,7942,9,3,3,4,2
168,1,82,21338,1,5,4,6,2
169,2,2,25318,7,5,3,1,2
170,1,29,3036,10,3,3,7,1
171,2,17,5787,3,3,5,2,1
172,1,35,13918,0,5,3,7,2
173,2,19,7696,9,3,5,5,2
174,1,16,27043,7,3,7,3,2
175,2,23,3318,10,5,7,6,1
176,1,12,24996,11,6,7,5,2
177,2,99,5727,7,4,7,3,1
178,2,56,4132,3,3,4,6,1
179,2,66,9763,8,5,5,1,2
180,1,20,4758,1,2,5,3,1
181,2,3,18291,12,3,7,2,2
182,1,81,27160,0,3,3,6,2
183,2,44,10109,3,6,5,2,2
184,1,38,4839,9,4,7,7,1
185,2,42,24466,0,3,3,6,2
186,2,74,2480,10,0,7,1,1
187,2,37,14434,8,4,5,4,2
188,2,40,8256,0,0,7,1,2
189,2,27,20261,6,5,3,1,2
190,1,4,2428,9,5,4,2,1
191,2,51,10720,7,2,7,5,2
192,2,22,12992,4,1,7,4,2
193,1,37,10317,9,6,4,1,2
194,2,35,26833,9,5,3,3,2
195,2,30,18010,6,2,7,1,2
196,2,7,20203,4,3,7,3,2
197,1,88,7177,6,3,3,4,2
198,2,88,22452,2,0,7,6,2
199,2,15,2178,8,5,3,5,0
200,1,10,1365,1,1,4,1,0
201,2,19,14039,6,2,3,7,2
202,1,77,19174,6,6,7,5,2
203,2,56,8195,0,2,3,5,2
204,2,18,11546,5,0,7,6,2
205,1,71,6357,10,1,5,1,2
206,1,60,19704,2,4,4,3,2
207,2,24,17270,1,6,4,6,2
208,2,32,21759,4,6,3,6,2
209,2,39,23009,11,3,4,7,2
210,1,100,13055,6,6,7,3,2
211,1,16,6945,6,6,4,2,2
212,2,52,15018,3,0,4,2,2
213,2,90,8913,0,3,7,1,2
214,2,80,2410,3,6,5,3,1
215,2,46,1264,9,1,3,7,0
216,2,96,10568,12,6,4,5,2
217,1,94,18884,0,5,4,2,2
218,2,84,1639,2,0,4,3,0
219,1,23,15185,5,6,4,4,2
220,2,15,9099,7,6,7,4,2
221,2,44,18064,6,4,4,4,2
222,2,83,7067,12,4,7,5,2
223,1,55,4926,0,2,3,4,1
224,1,98,2695,10,1,7,2,1
225,1,27,12592,11,4,3,7,2
226,2,45,1368,5,2,5,3,0
227,2,98,18856,9,1,4,7,2
228,1,81,14578,1,2,4,3,2
229,1,87,15968,6,4,4,2,2
230,1,27,16056,2,4,5,7,2
231,1,77,6955,3,0,4,7,2
232,2,48,24607,1,3,3,6,2
233,2,87,5871,9,1,7,1,1
234,2,94,27181,7,2,4,5,2
235,1,5,6026,6,6,5,7,2
236,1,97,12407,0,4,4,5,2
237,2,98,11931,0,1,5,5,2
238,1,28,5857,10,6,4,2,1
239,2,65,15033,9,4,5,2,2
240,2,68,19532,10,5,4,1,2
241,1,85,23455,0,6,4,6,2
242,2,72,7124,10,0,3,7,2
243,1,33,20373,6,4,5,7,2
244,1,99,13758,5,4,3,2,2
245,1,48,17618,7,2,4,1,2
246,1,99,4092,11,6,5,4,1
247,2,89,1599,11,1,3,1,0
248,2,69,19277,2,3,4,5,2
249,2,65,1859,1,2,3,6,0
250,1,99,2106,5,4,7,5,0
251,1,71,17760,0,1,5,7,2
252,1,1,7858,8,5,5,4,2
253,2,1,24398,11,2,4,7,2
254,1,71,14302,12,6,3,3,2
255,1,25,13892,10,1,3,4,2
256,1,100,12271,0,0,3,6,2
257,1,77,22098,3,1,7,6,2
258,2,50,1328,9,1,5,5,0
259,2,27,4399,2,3,7,5,1
260,1,96,14382,2,3,3,4,2
261,1,43,11133,10,2,5,7,2
262,2,19,5154,7,2,4,4,1
263,2,98,12729,11,5,7,3,2
264,2,45,11821,5,0,3,1,2
265,1,100,11934,3,4,7,4,2
266,1,80,20501,1,3,3,1,2
267,2,43,20802,9,2,3,4,2
268,1,67,12728,7,3,3,2,2
269,1,8,18954,11,3,5,1,2
270,1,83,20471,1,3,7,3,2
271,1,46,14408,10,2,3,7,2
272,1,64,25196,1,0,3,3,2
273,2,20,1198,11,2,4,4,0
274,2,96,13024,6,5,7,5,2
275,2,98,19337,7,1,7,6,2
276,1,5,14884,7,6,4,7,2
277,2,85,18738,9,0,3,2,2
278,1,24,4689,2,6,7,7,1
279,2,2,25651,3,1,7,2,2
280,1,71,6111,2,4,4,3,2
281,1,75,15690,8,5,4,5,2
282,2,28,19045,4,5,7,4,2
283,2,95,11085,9,3,4,5,2
284,2,65,1346,0,1,7,3,0
285,1,80,18136,0,3,3,7,2
286,2,82,3520,10,6,3,4,1
287,2,14,23955,4,6,5,3,2
288,1,21,368,7,1,5,6,0
289,1,69,3727,1,0,3,6,1
290,1,33,16691,6,6,7,6,2
291,1,2,12600,3,2,7,2,2
292,2,27,4889,6,5,7,1,1
293,1,19,23180,6,3,4,7,2
294,2,15,9062,2,5,7,7,2
295,2,71,21443,2,1,3,5,2
296,2,29,9112,6,1,4,2,2
297,2,35,1471,0,6,3,2,0
298,1,97,12597,5,4,4,5,2
299,1,48,428,9,2,7,6,0
300,1,49,674,6,4,5,3,0
301,2,80,10270,6,1,3,6,2
302,1,56,13988,3,5,7,2,2
303,2,63,25246,2,2,5,4,2
304,2,88,19176,1,3,4,4,2
305,1,58,8210,1,4,5,6,2
306,1,5,11848,6,4,7,3,2
307,1,51,13354,0,5,5,5,2
308,1,61,9749,1,1,5,6,2
309,1,83,22056,6,6,7,3,2
310,1,17,17470,11,2,5,3,2
311,2,45,3008,0,5,7,4,1
312,2,96,4596,11,1,3,5,1
313,1,62,1309,7,2,7,3,0
314,1,22,2025,6,2,5,6,0
315,1,97,9804,4,3,5,1,2
316,1,9,4313,7,1,5,1,1
317,1,5,6766,10,6,5,3,2
318,1,76,5942,11,1,5,2,2
319,1,61,25579,8,1,3,6,2
320,1,42,3939,4,0,7,2,1
321,1,16,6774,1,5,3,3,2
322,1,59,14958,3,6,5,4,2
323,2,17,20736,8,6,7,5,2
324,2,68,26605,11,4,3,3,2
325,2,60,9251,3,4,5,2,2
326,2,25,15262,3,3,5,3,2
327,1,14,26053,4,3,5,2,2
328,1,61,12709,7,6,5,4,2
329,1,53,15961,9,2,4,3,2
330,2,81,14242,2,2,4,7,2
331,1,29,4761,7,1,5,7,1
332,1,70,11516,3,4,4,6,2
333,1,28,16718,7,3,4,3,2
334,1,74,18067,0,6,7,6,2
335,1,5,14454,11,0,4,2,2
336,1,100,13372,5,1,7,3,2
337,1,100,22574,2,5,5,4,2
338,2,84,25007,5,1,3,5,2
339,2,55,16995,9,4,5,5,2
340,2,50,798,7,2,5,6,0
341,2,86,775,0,1,4,7,0
342,1,53,7950,11,4,5,1,2
343,1,10,13422,0,5,7,1,2
344,2,43,23194,5,1,4,2,2
345,1,59,10447,12,5,4,3,2
346,2,30,22373,11,4,7,5,2
347,2,59,3277,4,4,4,6,1
348,1,14,19648,10,4,3,3,2
349,2,48,5717,3,2,4,4,1
350,1,56,9731,1,6,7,6,2
351,2,65,26627,8,4,5,7,2
352,1,7,23946,11,3,3,3,2
353,2,69,20805,4,1,4,3,2
354,2,15,26394,11,2,7,2,2
355,2,52,18647,3,0,4,2,2
356,2,32,871,11,0,7,5,0
357,1,87,3342,11,6,4,5,1
358,1,78,17963,1,5,5,2,2
359,1,34,8287,3,5,3,1,2
360,2,29,11386,1,3,7,6,2
361,1,51,7343,5,1,5,1,2
362,2,89,2812,3,2,7,7,1
363,1,53,18015,12,3,4,1,2
364,2,4,15704,1,0,4,5,2
365,2,64,8501,12,2,3,3,2
366,2,26,10484,4,1,4,1,2
367,2,84,6607,5,0,4,6,2
368,1,5,18377,4,2,7,6,2
369,1,88,12846,8,5,7,7,2
370,1,17,27234,5,3,4,5,2
371,2,68,26631,9,0,5,5,2
372,1,56,3738,9,5,4,1,1
373,2,32,7004,5,1,3,2,2
374,2,81,5041,10,3,5,7,1
375,1,72,3198,8,2,7,3,1
376,1,73,10974,10,3,7,6,2
377,1,100,9162,7,6,4,7,2
378,2,31,1281,3,6,4,4,0
379,1,94,25996,6,1,3,7,2
380,1,73,2162,4,1,4,6,0
381,2,48,23222,9,3,3,3,2
382,1,99,15169,8,2,7,2,2
383,2,32,19398,5,6,4,4,2
384,1,14,11886,1,1,3,4,2
385,1,61,15169,2,3,4,1,2
386,2,87,667,3,2,5,4,0
387,2,32,23526,1,1,7,2,2
388,1,56,22270,9,4,4,6,2
389,1,28,4810,4,0,5,1,1
390,2,43,2872,8,6,5,1,1
391,1,97,17786,7,1,3,7,2
392,1,50,11839,5,2,4,1,2
393,1,46,6675,10,2,3,1,2
394,1,72,4676,3,5,7,5,1
395,1,37,21555,5,3,5,1,2
396,1,2,20962,1,3,7,6,2
397,2,17,5125,11,6,5,6,1
398,2,15,11547,6,6,5,1,2
399,1,67,6849,4,2,7,6,2
400,2,85,11670,9,3,3,5,2
401,1,93,24118,8,2,3,2,2
402,2,22,21907,2,2,5,1,2
403,2,82,27255,3,1,3,6,2
404,1,7,15936,10,0,4,5,2
405,1,55,21810,8,6,3,4,2
406,1,49,24053,9,6,4,7,2
407,1,26,22538,4,3,5,2,2
408,1,4,22408,5,3,3,6,2
409,2,89,11867,5,1,4,5,2
410,1,26,4961,11,3,3,2,1
411,1,60,15418,12,4,7,4,2
412,1,83,4487,0,2,7,3,1
413,2,78,26577,11,1,3,7,2
414,2,18,4508,1,2,3,1,1
415,1,96,3838,10,5,3,2,1
416,1,91,20756,5,1,4,3,2
417,2,36,12118,9,4,4,7,2
418,1,20,15398,0,5,4,6,2
419,1,3,10873,8,1,7,1,2
420,1,18,20352,9,3,3,2,2
421,2,77,2803,11,5,5,5,1
422,2,51,24955,7,0,4,7,2
423,2,49,4493,3,6,3,2,1
424,1,31,10903,6,0,4,6,2
425,2,97,22076,4,3,3,4,2
426,2,18,19743,11,1,7,6,2
427,2,12,10632,2,3,3,1,2
428,2,91,10636,6,3,5,3,2
429,2,98,24454,1,3,7,1,2
430,2,71,6362,4,6,4,7,2
431,1,94,7509,11,3,7,5,2
432,1,45,23798,2,6,5,3,2
433,1,80,8143,7,1,7,4,2
434,2,65,23293,6,4,7,6,2
435,2,88,22799,4,6,3,7,2
436,1,16,11194,4,3,5,2,2
437,1,45,15081,11,6,3,4,2
438,1,91,18426,4,0,4,5,2
439,2,37,2187,10,5,7,3,0
440,1,50,25883,9,1,7,7,2
441,2,24,9064,5,3,5,4,2
442,1,48,7982,8,0,4,5,2
443,2,76,15179,4,0,5,6,2
444,1,4,12251,11,5,3,5,2
445,1,51,22878,5,5,3,3,2
446,1,46,23166,0,6,4,4,2
447,2,40,21246,2,5,4,5,2
448,1,14,23037,5,3,7,7,2
449,2,10,18153,12,2,3,3,2
450,2,27,13370,11,5,4,7,2
451,1,78,9283,7,0,4,5,2
452,2,13,17281,6,0,7,5,2
453,1,4,14442,6,0,7,3,2
454,2,86,21156,8,5,4,3,2
455,2,15,6299,11,6,3,6,2
456,1,29,25084,12,3,4,5,2
457,2,78,10435,3,2,3,1,2
458,2,42,2736,8,4,4,1,1
459,2,25,21835,12,1,3,2,2
460,2,75,22364,2,4,5,5,2
461,2,95,3861,6,4,7,7,1
462,2,91,18281,11,3,4,1,2
463,2,22,20582,3,3,4,6,2
464,2,43,11935,10,5,7,7,2
465,2,84,9534,10,1,3,5,2
466,1,55,21886,5,6,4,7,2
467,2,2,16151,12,3,4,4,2
468,1,25,7722,3,3,4,3,2
469,1,0,5727,4,5,3,7,1
470,2,95,17702,9,1,4,7,2
471,1,56,7448,11,0,5,5,2
472,1,70,22761,0,2,4,1,2
473,1,82,14335,3,6,4,6,2
474,2,86,21511,0,1,7,1,2
475,2,62,1723,8,1,3,7,0
476,1,46,7758,4,5,5,4,2
477,1,89,20986,6,2,7,5,2
478,1,77,6604,4,0,3,6,2
479,1,12,2512,0,4,3,7,1
480,2,62,24742,8,3,4,2,2
481,1,37,21680,10,4,7,3,2
482,2,83,27264,8,0,3,3,2
483,1,31,5586,11,4,5,2,1
484,2,28,22721,9,4,4,3,2
485,2,59,25714,11,5,4,5,2
486,2,83,22021,4,6,4,3,2
487,2,40,14872,5,2,4,6,2
488,1,89,575,4,1,5,5,0
489,1,29,9773,11,0,4,4,2
490,1,28,8603,7,4,3,4,2
491,1,52,14560,10,6,7,3,2
492,1,42,11780,0,5,3,1,2
493,2,10,26085,7,6,4,2,2
494,1,84,10921,2,2,7,2,2
495,2,17,17776,8,5,4,5,2
496,1,0,9132,12,1,4,2,2
497,2,39,13778,4,3,5,3,2
498,1,38,5212,0,3,5,2,1
499,2,98,3304,5,1,3,3,1
500,1,65,27179,2,2,5,1,2
501,1,48,19794,11,0,7,4,2
502,2,86,17635,7,5,7,1,2
503,2,45,14064,2,3,7,4,2
504,2,49,16622,8,0,4,5,2
505,1,22,18932,5,2,4,2,2
506,1,92,2657,5,2,4,3,1
507,1,65,9578,2,4,4,5,2
508,2,85,3462,1,2,5,6,1
509,2,66,10131,4,5,4,6,2
510,1,32,23253,0,3,7,1,2
511,2,50,22267,6,3,3,7,2
512,2,70,23421,1,4,3,4,2
513,1,35,9225,12,1,3,5,2
514,2,100,23141,6,3,7,3,2
515,2,23,5000,5,2,3,7,1
516,2,82,23578,5,4,4,6,2
517,1,89,4999,2,6,5,2,1
518,2,79,16331,9,1,3,3,2
519,1,27,3662,5,5,5,7,1
520,2,85,24026,4,1,3,7,2
521,1,1,25301,8,3,5,6,2
522,2,9,10562,4,3,5,2,2
523,1,81,7233,4,4,4,2,2
524,1,11,15271,9,0,5,1,2
525,2,64,14989,2,3,5,3,2
526,2,67,850,6,1,3,3,0
527,1,61,20624,4,2,4,7,2
528,2,54,3134,7,4,7,1,1
529,1,36,369,4,6,4,1,0
530,2,84,19583,9,6,7,4,2
531,1,19,24666,0,2,3,4,2
532,2,69,995,8,2,3,4,0
533,2,84,15387,9,0,4,7,2
534,2,62,13621,4,6,5,4,2
535,2,68,22826,0,4,3,6,2
536,1,41,24149,3,1,5,7,2
537,1,80,5571,4,4,5,1,1
538,2,16,27106,9,2,7,4,2
539,1,57,5286,12,0,7,2,1
540,2,5,12573,0,5,4,5,2
541,1,96,20543,5,4,3,3,2
542,1,22,3692,3,3,7,7,1
543,2,3,16710,3,6,4,2,2
544,1,8,10951,12,4,4,3,2
545,2,62,7550,3,0,3,3,2
546,2,92,17547,11,5,3,4,2
547,2,41,13747,6,3,7,5,2
548,2,74,22234,6,1,3,4,2
549,2,92,1431,8,4,3,1,0
550,1,95,7386,6,6,4,5,2
551,1,11,2323,4,3,5,5,1
552,2,34,25323,9,4,7,1,2
553,2,91,20252,7,3,5,3,2
554,2,49,10357,1,3,4,3,2
555,2,71,9830,12,3,7,5,2
556,1,39,9190,6,5,5,1,2
557,1,58,11267,7,4,3,5,2
558,2,5,6546,2,0,3,5,2
559,2,73,20137,4,0,4,3,2
560,1,88,25471,11,2,3,1,2
561,2,12,5298,0,3,7,1,1
562,1,97,9895,7,4,7,6,2
563,1,59,8121,12,3,3,6,2
564,1,78,22820,9,6,5,1,2
565,1,15,18024,7,4,5,7,2
566,1,4,21530,5,4,4,6,2
567,1,22,26385,4,6,4,4,2
568,1,52,9502,4,4,7,2,2
569,1,66,24728,8,3,7,3,2
570,1,71,15528,3,5,3,6,2
571,1,72,19041,12,4,4,5,2
572,1,5,12702,4,0,3,5,2
573,2,39,12137,1,6,5,4,2
574,2,79,1788,8,5,5,7,0
575,1,79,22569,1,0,7,5,2
576,1,41,14944,0,4,3,1,2
577,1,89,19808,6,2,3,2,2
578,1,22,12351,4,3,7,2,2
579,2,89,11677,1,2,5,6,2
580,2,89,4328,11,1,4,1,1
581,1,19,22674,9,2,7,5,2
582,2,62,13124,7,1,7,7,2
583,2,29,26048,10,5,7,4,2
584,1,9,23894,8,6,7,7,2
585,2,11,6384,2,4,7,7,2
586,1,99,14567,8,1,7,3,2
587,2,26,7494,0,2,5,5,2
588,1,82,23036,1,1,5,1,2
589,2,72,27040,7,4,3,5,2
590,2,1,6476,0,4,4,6,2
591,1,99,5066,10,6,5,7,1
592,2,46,8417,11,0,3,4,2
593,2,55,17858,0,4,5,5,2
594,2,10,2049,12,1,3,2,0
595,2,74,19465,5,4,4,2,2
596,2,24,9349,10,3,3,5,2
597,1,95,15746,5,0,7,1,2
598,2,43,26814,1,1,5,4,2
599,1,91,5298,0,5,5,1,1
600,2,13,23340,2,6,3,1,2
601,2,78,14173,5,1,4,2,2
602,1,55,359,2,4,4,3,0
603,1,5,11025,3,0,5,2,2
604,1,23,9136,2,6,7,6,2
605,1,42,972,11,6,7,5,0
606,2,49,2680,11,2,4,1,1
607,2,75,2444,0,5,3,5,1
608,1,56,2608,1,2,3,6,1
609,2,43,19264,0,3,4,6,2
610,1,24,17180,10,3,7,5,2
611,1,81,7776,3,0,3,2,2
612,1,21,764,3,4,3,6,0
613,1,94,22409,3,3,5,6,2
614,2,18,19486,10,6,5,4,2
615,2,63,2755,6,2,4,6,1
616,1,89,7689,4,4,3,4,2
617,2,29,1811,7,3,3,2,0
618,2,37,10335,10,4,5,7,2
619,1,49,23684,11,6,7,6,2
620,1,40,27019,2,2,3,1,2
621,1,95,11793,2,6,5,4,2
622,2,11,7658,10,1,3,7,2
623,2,56,6029,10,3,4,6,2
624,2,63,19010,9,3,4,6,2
625,1,14,14523,3,5,4,3,2
626,1,32,15632,9,3,5,2,2
627,2,65,5868,10,4,7,5,1
628,1,65,1152,9,4,5,1,0
629,2,36,26364,11,0,3,3,2
630,2,25,20140,2,0,5,2,2
631,2,76,3750,6,2,4,6,1
632,1,72,2912,4,6,3,3,1
633,1,50,9415,3,0,3,3,2
634,2,12,6590,5,4,5,6,2
635,1,24,12108,12,5,5,1,2
636,2,19,16039,2,6,3,5,2
637,1,67,3760,9,6,3,1,1
638,2,10,16417,5,0,3,7,2
639,2,7,12795,10,6,4,1,2
640,1,52,20522,2,2,4,6,2
641,2,92,2339,9,3,3,6,1
642,2,14,10502,12,4,7,4,2
643,2,72,18129,8,3,5,7,2
644,2,46,9049,9,1,7,6,2
645,2,99,5023,9,6,4,5,1
646,1,35,27262,9,1,3,7,2
647,1,81,9316,2,3,5,1,2
648,1,23,9456,8,0,3,4,2
649,1,61,17748,0,4,7,2,2
650,1,53,9123,3,6,5,7,2
651,1,12,16970,5,1,3,4,2
652,1,45,12723,0,2,5,6,2
653,1,7,18593,9,0,4,6,2
654,2,47,26271,0,1,5,7,2
655,2,39,22408,9,6,3,5,2
656,2,94,19155,8,5,7,3,2
657,2,19,24455,12,6,3,7,2
658,1,50,9937,4,2,4,1,2
659,1,65,3067,8,2,3,3,1
660,1,43,402,2,0,5,6,0
661,1,82,26689,3,1,7,5,2
662,2,78,2287,12,3,5,1,1
663,1,89,17911,4,0,5,2,2
664,2,56,773,8,3,7,7,0
665,2,72,2964,11,0,7,3,1
666,1,50,23369,4,1,4,1,2
667,1,34,5291,9,3,4,7,1
668,1,90,19276,11,0,5,7,2
669,2,11,7459,4,3,3,5,2
670,1,11,2415,6,5,4,3,1
671,1,36,1521,6,1,3,6,0
672,1,49,10419,10,4,5,6,2
673,2,76,13233,0,5,3,6,2
674,1,81,19625,12,1,4,4,2
675,1,95,9908,8,3,5,4,2
676,1,74,12833,3,3,3,2,2
677,1,48,22007,6,4,4,5,2
678,1,74,24002,4,3,4,3,2
679,2,11,3525,0,4,5,3,1
680,2,93,21742,11,0,3,2,2
681,1,34,20743,0,3,7,4,2
682,2,74,5368,2,6,4,2,1
683,2,76,5258,12,6,5,4,1
684,2,39,22057,1,3,5,4,2
685,1,10,8253,12,4,5,5,2
686,2,2,26320,12,4,7,1,2
687,1,75,12960,1,5,7,1,2
688,2,46,15731,7,0,4,7,2
689,1,51,3802,12,0,5,7,1
690,2,41,15764,12,6,3,1,2
691,1,91,20294,8,2,7,7,2
692,1,3,24181,9,0,7,2,2
693,2,16,20750,1,2,7,3,2
694,1,63,4069,9,5,7,1,1
695,2,64,8583,7,4,3,7,2
696,2,13,1355,10,0,5,5,0
697,2,38,22758,8,3,4,4,2
698,1,4,19632,9,6,3,3,2
699,2,3,9584,1,1,7,1,2
700,1,19,9864,7,3,4,7,2
701,2,81,12323,3,4,7,4,2
702,1,16,10615,12,2,3,3,2
703,1,71,15177,11,0,7,6,2
704,2,24,15893,5,6,4,5,2
705,1,11,2031,3,2,4,5,0
706,1,22,12451,4,4,5,5,2
707,2,60,12183,2,2,5,5,2
708,1,91,23905,9,2,3,5,2
709,1,2,11169,6,4,5,7,2
710,1,8,23270,5,1,5,7,2
711,1,72,2243,5,0,4,6,1
712,1,89,12337,7,4,4,3,2
713,2,38,8145,3,0,3,7,2
714,2,52,21963,3,2,7,2,2
715,1,97,22106,3,4,3,5,2
716,1,88,26210,10,4,4,1,2
717,1,63,21567,4,0,7,4,2
718,1,21,16184,2,1,5,4,2
719,2,4,17446,12,5,7,2,2
720,1,31,21243,1,4,5,3,2
721,2,75,13999,7,4,7,6,2
722,2,37,22440,1,3,3,6,2
723,1,7,11913,7,6,5,7,2
724,2,22,10199,0,6,4,6,2
725,1,42,18998,0,6,5,1,2
726,2,59,12203,12,2,5,6,2
727,1,95,1909,5,0,7,2,0
728,1,54,6567,1,6,3,5,2
729,2,73,26232,2,6,3,1,2
730,1,51,9866,11,3,4,1,2
731,1,82,13912,1,1,7,4,2
732,2,23,3060,9,6,4,7,1
733,1,83,19249,11,0,4,6,2
